text,label
En area network illai,network_issue
Best plan heluva,plan_info
I want to register a complaint,complaint
How much data have I used today,data_usage
Meri problem solve nahi hui,complaint
Sabse zyada data konse plan mein hai,plan_info
Jio se Airtel mein shift karna hai,port_number
Check my balance,balance
Check my data balance,data_usage
Mera number recharge karo,recharge
Kitna data bacha hai,data_usage
Yaava plan chennagide,plan_info
Unnakku enna peyar,unknown
Data khatam bro,data_usage
Mere number ka balance check karo,balance
Register my complaint,complaint
Tell me my remaining balance,balance
Indru enna data use achu,data_usage
Mujhe ek achha plan suggest karo,plan_info
I have no signal on my phone,network_issue
Network badalna hai,port_number
Signal bahut kamzor hai,network_issue
What is the balance on my SIM,balance
SIM recharge maadi please,recharge
Recharge 499 on my number,recharge
Nanna data eshtu baaki ide,data_usage
Can you help me with something,unknown
Recharge jaldi karo yaar,recharge
Balance hella,balance
Data kab expire hoga,data_usage
How much credit do I have left,balance
Offer cheppandi,plan_info
Best offer sollu,plan_info
Account balance chudandi,balance
Naa number recharge cheyyandi,recharge
Airtel ge port maadi,port_number
Naa number ki pack pettandi,recharge
How much money is left,balance
Data balance sollu,data_usage
What is left in my account,balance
Please log my complaint,complaint
Kitna GB bacha hai,data_usage
Issue solve kaledu,complaint
Internet balance check pannu,data_usage
Plan details vendum,plan_info
Complaint file pannanum,complaint
28 din plan eshtu,plan_info
Ugh internet slow again,network_issue
Do a quick recharge for me,recharge
Jaldi recharge karo,recharge
Data check maadi,data_usage
Data check karo,data_usage
This is my third time calling about the same issue,complaint
How much internet do I have left,data_usage
Top up my SIM with 199,recharge
Naa SIM balance enta,balance
I network bitthu hogabeku,port_number
How do I move to another network,port_number
Which plan is good for heavy data users,plan_info
My issue is not resolved,complaint
I want to add a new plan,recharge
En number recharge pannu,recharge
Complaint karna hai,complaint
Sabse sasta plan konsa hai,plan_info
Enu gottilla,unknown
Mera data kitna bacha hai,data_usage
Port krna hai,port_number
Internet slow aagide,network_issue
Why is my internet so slow,network_issue
Data enna balance iruku,data_usage
How much data is left in my plan,data_usage
What is your name,unknown
Number port pannanum,port_number
Nanna account balance tori,balance
Net chal nahi raha bhai,network_issue
Network change pannanum,port_number
Eshtu balance ide,balance
Number mein balance daalo,recharge
Aaj kitna data use kiya,data_usage
Meeru evaru,unknown
Data eshtu undi,data_usage
Internet bilkul nahi chal raha,network_issue
I want to switch from Jio to Airtel,port_number
Plan dikhao,plan_info
Switch network provider,port_number
Which plan gives unlimited calls,plan_info
4G velaikagala,network_issue
Naku plan suggest cheyyandi,plan_info
Show me my balance,balance
No network coverage here,network_issue
What is my current balance,balance
Network change maadi,port_number
Data kab khatam hoga,data_usage
Nanna number recharge maadi,recharge
My net not working bro,network_issue
My 4G is not working,network_issue
Signal illa,network_issue
Internet dead again,network_issue
299 plan ki validity kya hai,plan_info
Network ledu,network_issue
Help me,unknown
Suggest a good plan for me,plan_info
200 rupees kulla plan irukka,plan_info
MNP kaise kare,port_number
Nenu enta data vadikindi,data_usage
Account la enna balance iruku,balance
Airtel ki port cheyyali,port_number
SIM recharge venum,recharge
28 day plan enna,plan_info
Mujhe recharge chahiye,recharge
I cannot make any calls,network_issue
Number port maadabeku,port_number
How much GB do I have remaining,data_usage
Pls recharge fast,recharge
Abhi recharge karo,recharge
Kitna balance iruku,balance
I am not happy with your service,complaint
28 din ka plan kya hai,plan_info
File a complaint please,complaint
What are the plans available,plan_info
Prblm abhi tk sahi nai hua,complaint
Balance check karo,balance
4G kaaj aagalla,network_issue
Internet work agalla,network_issue
299 ka pack lagao,recharge
199 recharge pettandi,recharge
Naa data enta migilaindi,data_usage
Nanna problem report maadi,complaint
Data slow ho gaya hai,network_issue
Network problem on my phone,network_issue
Data evalo MB irruku,data_usage
En SIM balance pakanum,balance
Naa balance telupandi,balance
Data is extremely slow,network_issue
What is the process to port my number,port_number
Naa area lo network ledu,network_issue
Add balance to my number,recharge
Nanna SIM balance eshtu,balance
Complaint darj karo,complaint
Emi artham kavatledu,unknown
Internet balance chudandi,data_usage
Recharge aagilla please maadi,recharge
Number port cheyyali,port_number
Check my remaining balance please,balance
Plan sollu,plan_info
Signal ledu,network_issue
Best plan edi,plan_info
Tum kaun ho,unknown
Call disconnect aaguthu,network_issue
Are you a robot,unknown
Who are you,unknown
Vera network ki velladam,port_number
Switch network,port_number
Ek baar phir complaint kar raha hun,complaint
Nobody is resolving my issue,complaint
Network marchu vali undi,port_number
En issue fix agala,complaint
Ivattu eshtu data use aagide,data_usage
Nanna numberge pack haaki,recharge
Bhai mera internet nai chal raha,network_issue
Hello,unknown
Network sambandha illa,network_issue
Balance cheppandi,balance
Mere area mein network nahi hai,network_issue
I want to port my number,port_number
Service sari illai complaint pannanum,complaint
199 recharge pannanum,recharge
Data balance chekku,data_usage
Mere liye 199 ka recharge karo,recharge
Mera account balance kya hai,balance
Net kitna bacha,data_usage
Port my number to Airtel,port_number
Tumhara naam kya hai,unknown
Number portability request,port_number
MNP request,port_number
199 ka recharge karo,recharge
Best offer kya hai,plan_info
Calls keep getting cut,network_issue
Naa issue inka fix kaledu,complaint
Airtel ku port pannanum,port_number
Mera issue abhi tak solve nahi hua,complaint
199 recharge maadi,recharge
Good morning,unknown
My problem has not been fixed yet,complaint
Mujhe data check karna hai,data_usage
My data is almost finished,data_usage
Network problem undi,network_issue
Network nahi chal raha,network_issue
Net dead,network_issue
Konsa plan lena chahiye,plan_info
Mera balance kitna hai,balance
Problem report karo,complaint
Balance batao,balance
Show me all offers,plan_info
Naa balance enta undi,balance
Problem report cheyyandi,complaint
Data slow ga undi,network_issue
Mujhe service se problem hai,complaint
Balance check pannu,balance
28 rojula plan emi undi,plan_info
Plan details chudandi,plan_info
Nanna problem iga tak fix aagilla,complaint
Top up pls,recharge
Balance sollu,balance
What is the cheapest plan,plan_info
Naa complaint iyavali,complaint
What is the validity of 299 plan,plan_info
Problem solve agala,complaint
Nanna areaalli network illa,network_issue
Kuch samajh nahi aaya,unknown
Naa mobile ki balance pettandi,recharge
What can you do,unknown
Internet keeps disconnecting,network_issue
Nange plan suggest maadi,plan_info
4G kaam nahi kar raha,network_issue
How to change my network,port_number
Enu plan ide heluva,plan_info
Data yaavaga expire aagatte,data_usage
200 rupai olage plan tori,plan_info
Mujhe balance check karna hai,balance
4G pani cheyyatledu,network_issue
Mobile recharge seyyanum,recharge
What plans do you have,plan_info
Internet band ho gaya,network_issue
I need a recharge pack,recharge
Comp lgana hai,complaint
Complaint maadabeku,complaint
Naya pack lagana hai,recharge
En balance enna,balance
Account mein kitna paisa hai,balance
Call kat rahi hai,network_issue
En problem report pannum,complaint
Plan ke baare mein batao,plan_info
SIM recharge kavali,recharge
200 rupaye se kam ka plan dikhao,plan_info
Recharge with 199 plan,recharge
Ntwrk change karna hai,port_number
Call cut aagutide,network_issue
Bro recharge kar do,recharge
Airtel mein port karna hai,port_number
Puriyala,unknown
How many MB remaining,data_usage
Number port karna hai,port_number
Kya kar sakte ho,unknown
Recharge ho gaya kya,recharge
Data enta undi,data_usage
How much balance do I have,balance
Complaint cheyali,complaint
Do a recharge of 299,recharge
Network illai,network_issue
Show me my data usage,data_usage
Bal check kro,balance
Data slow aaguthu,network_issue
Service tho problem undi complaint cheyyali,complaint
Recharge cheyyali,recharge
200 rupayala plan chuppandi,plan_info
Nanna SIM ge balance haaki,recharge
Kya plan hai bhai,plan_info
Yaar balance khatam ho gaya,balance
Complaint file maadi,complaint
Is network ko chhodna hai,port_number
Balance check maadi,balance
Check bal,balance
Show me plans under 200 rupees,plan_info
